id,municipio,tipo,establecimiento,telefono,subregion,created_at
1,Amagá,Hotel,Hospedaje Amagá 2,3218640943,,2026-09-07 22:46:08.780756+00
2,Amagá,Hotel,Hospedaje Amagá 2,3125141157,,2026-09-07 22:46:08.780756+00
3,Amagá,Hotel,Hospedaje Amagá 3,32096277,,2026-09-07 22:46:08.780756+00
4,Amagá,Hotel,Hospedaje Amagá 3,31238722,,2026-09-07 22:46:08.780756+00
5,Amagá,Hotel,Hospedaje Amagá 4,3112386043,,2026-09-07 22:46:08.780756+00
6,Amagá,Hotel,Hospedaje Amagá 4,3116146021,,2026-09-07 22:46:08.780756+00
7,Amagá,Hotel,Hotel Principal Amagá 1,30128859,,2026-09-07 22:46:08.780756+00
8,Amagá,Hotel,Hotel Principal Amagá 1,3119151081,,2026-09-07 22:46:08.780756+00
9,Amagá,Restaurante,Restaurante Típico Amagá 1,3016984035,,2026-09-07 22:46:08.780756+00
10,Amagá,Restaurante,Restaurante Típico Amagá 1,32165546,,2026-09-07 22:46:08.780756+00
11,Amagá,Restaurante,Restaurante Típico Amagá 2,31257206,,2026-09-07 22:46:08.780756+00
12,Amagá,Restaurante,Restaurante Típico Amagá 2,3133128567,,2026-09-07 22:46:08.780756+00
13,Amagá,Restaurante,Restaurante Típico Amagá 3,3218526654,,2026-09-07 22:46:08.780756+00
14,Amagá,Restaurante,Restaurante Típico Amagá 3,3135582088,,2026-09-07 22:46:08.780756+00
15,Andes,Hotel,Hospedaje Andes 2,3119050557,,2026-09-07 22:46:08.780756+00
16,Andes,Hotel,Hospedaje Andes 2,3204355774,,2026-09-07 22:46:08.780756+00
17,Andes,Hotel,Hospedaje Andes 3,3125822209,,2026-09-07 22:46:08.780756+00
18,Andes,Hotel,Hospedaje Andes 3,3121513804,,2026-09-07 22:46:08.780756+00
19,Andes,Hotel,Hospedaje Andes 4,3144675371,,2026-09-07 22:46:08.780756+00
20,Andes,Hotel,Hospedaje Andes 4,3133352189,,2026-09-07 22:46:08.780756+00
21,Andes,Hotel,Hotel Principal Andes 1,3144840735,,2026-09-07 22:46:08.780756+00
22,Andes,Hotel,Hotel Principal Andes 1,3018370886,,2026-09-07 22:46:08.780756+00
23,Andes,Hotel,Hotel San Juan,3117456624,,2026-09-07 22:46:08.780756+00
24,Andes,Restaurante,Restaurante Típico Andes 1,3014200222,,2026-09-07 22:46:08.780756+00
25,Andes,Restaurante,Restaurante Típico Andes 1,3135227171,,2026-09-07 22:46:08.780756+00
26,Andes,Restaurante,Restaurante Típico Andes 2,3014203774,,2026-09-07 22:46:08.780756+00
27,Andes,Restaurante,Restaurante Típico Andes 2,3122034855,,2026-09-07 22:46:08.780756+00
28,Andes,Restaurante,Restaurante Típico Andes 3,3121007201,,2026-09-07 22:46:08.780756+00
29,Andes,Restaurante,Restaurante Típico Andes 3,3113369988,,2026-09-07 22:46:08.780756+00
30,,,,,,2026-09-07 22:46:08.780756+00
31,Angelópolis,Hotel,Hospedaje Angelópolis 2,3125315689,,2026-09-07 22:46:08.780756+00
32,Angelópolis,Hotel,Hospedaje Angelópolis 2,31133339,,2026-09-07 22:46:08.780756+00
33,Angelópolis,Hotel,Hospedaje Angelópolis 3,3208119178,,2026-09-07 22:46:08.780756+00
34,Angelópolis,Hotel,Hospedaje Angelópolis 3,3206728755,,2026-09-07 22:46:08.780756+00
35,Angelópolis,Hotel,Hospedaje Angelópolis 4,3131961721,,2026-09-07 22:46:08.780756+00
36,Angelópolis,Hotel,Hospedaje Angelópolis 4,31391608,,2026-09-07 22:46:08.780756+00
37,Angelópolis,Hotel,Hotel Principal Angelópolis 1,3119324461,,2026-09-07 22:46:08.780756+00
38,Angelópolis,Hotel,Hotel Principal Angelópolis 1,3001289528,,2026-09-07 22:46:08.780756+00
39,Angelópolis,Restaurante,Restaurante Típico Angelópolis 1,3217275086,,2026-09-07 22:46:08.780756+00
40,Angelópolis,Restaurante,Restaurante Típico Angelópolis 1,31479255,,2026-09-07 22:46:08.780756+00
41,Angelópolis,Restaurante,Restaurante Típico Angelópolis 2,3133490532,,2026-09-07 22:46:08.780756+00
42,Angelópolis,Restaurante,Restaurante Típico Angelópolis 2,3135287355,,2026-09-07 22:46:08.780756+00
43,Angelópolis,Restaurante,Restaurante Típico Angelópolis 3,3129030251,,2026-09-07 22:46:08.780756+00
44,Angelópolis,Restaurante,Restaurante Típico Angelópolis 3,3008277807,,2026-09-07 22:46:08.780756+00
45,,,,,,2026-09-07 22:46:08.780756+00
46,Betania,Hotel,Hospedaje Betania 2,3016598664,,2026-09-07 22:46:08.780756+00
47,Betania,Hotel,Hospedaje Betania 2,3142544501,,2026-09-07 22:46:08.780756+00
48,Betania,Hotel,Hospedaje Betania 3,3119153312,,2026-09-07 22:46:08.780756+00
49,Betania,Hotel,Hospedaje Betania 3,3011739219,,2026-09-07 22:46:08.780756+00
50,Betania,Hotel,Hospedaje Betania 4,3205484258,,2026-09-07 22:46:08.780756+00
