id,nombre,subregion,altitud_msnm,temperatura_c,distancia_medellin_km,tiempo_medellin,coordenadas,como_llegar,historia,atractivos,gastronomia,festividades,tipo_via,dificultad_moto,tips_moto,poblacion,notas_adicionales,updated_at,nombre_norm
abejorral,Abejorral,Oriente,2250,16,100,2h,"{'lat': 5.7927, 'lng': -75.4285}",Desde Medellín por La Ceja-La Unión-Abejorral. Carretera departamental.,Fundado en 1808. Cuna del fundador de la UPB y de múltiples personalidades antioqueñas. Conserva una plaza colonial declarada Patrimonio Arquitectónico. Municipio de profunda tradición cafetera y ganadera.,"['Plaza colonial (Patrimonio Nacional)', 'Iglesia de Abejorral', 'Museo Municipal', 'Haciendas cafeteras', 'Cascada La Chorrera', 'Páramo de Sonsón (compartido)']","['Frijoles', 'Sancocho', 'Mazamorra con panela', 'Chicharrón', 'Aguardiente artesanal', 'Cuajada']","['Fiestas patronales de la Virgen de Chiquinquirá (septiembre)', 'Festival del Campesino', 'Fiesta del Café']","Carretera departamental pavimentada, muchas curvas, buen estado.",media,Ruta de 2 horas desde Medellín con excelentes paisajes cafeteros. Combinar con Sonsón para ruta completa del sur del Oriente. Fresco constante.,17000,,2026-07-14 12:03:11.391593+00,abejorral
abriaqui,Abriaquí,Occidente,1750,19,130,3h,"{'lat': 6.6333, 'lng': -76.0833}",Desde Frontino o desde Cañasgordas.,Fundado en 1858. Municipio pequeño del Occidente antioqueño. Zona cafetera y de montaña. Acceso a la reserva natural Las Ánimas.,"['Reserva Natural Las Ánimas', 'Parque principal', 'Cultivos de café', 'Ríos de montaña']","['Café', 'Frijoles', 'Sancocho', 'Mazamorra']",['Fiestas patronales'],"Carretera departamental, muchas curvas.",dificil,Municipio muy pequeño. Llevar gasolina y comida.,4000,,2026-07-14 12:04:26.281938+00,abriaqui
amaga,Amagá,Suroeste,1200,21,45,50min,"{'lat': 6.0376, 'lng': -75.6994}",Autopista Sur desde Medellín. Vía bien pavimentada.,Fundado en 1788. Zona hullera histórica. Las minas de carbón de Amagá fueron las primeras de Antioquia. Hoy el municipio combina industria con agropecuaria. Puerta de entrada al Suroeste desde Medellín.,"['Parque principal', 'Minas de carbón (históricas)', 'Río Amagá', 'Cascadas', 'Mirador El Rosario', 'Museo del Carbón']","['Chicharrón', 'Frijoles', 'Arepa de chócolo', 'Sancocho', 'Aguardiente']","['Fiestas del Carbón (julio)', 'Fiestas patronales del Sagrado Corazón', 'Festival Cultural']",Autopista bien pavimentada.,facil,Amagá a 50min de Medellín. Primera parada del Suroeste. Los restaurantes de la vía son buenos. Ideal para desayuno de bandeja paisa antes de seguir.,30000,Primera ciudad del Suroeste desde Medellín. Histórica por su industria carbonera.,2026-07-14 12:07:16.77151+00,amaga
amalfi,Amalfi,Nordeste,1600,19,120,2h30min,"{'lat': 6.9119, 'lng': -75.0762}","Desde Medellín por la Autopista Norte hasta Barbosa, luego por Don Matías o Gómez Plata hacia el Nordeste.",Fundado en 1876. Ciudad del Nordeste antioqueño. Centro de servicios de la subregión. Zona minera y cafetera. Parque principal bien conservado con arquitectura republicana. Acceso al cañón del río Nus. Municipio de gran tradición cultural.,"['Parque principal', 'Catedral de Amalfi', 'Cañón del río Nus', 'Cascadas naturales', 'Quebradas', 'Minas artesanales', 'Cerros circundantes']","['Frijoles', 'Mazamorra', 'Sancocho', 'Trucha', 'Chicharrón', 'Café del Nordeste']","['Fiestas patronales Santa Gertrudis (noviembre)', 'Festival Cultural del Nordeste', 'Festival de la Trova Amalfitana']","Carretera departamental bien pavimentada, curvas pronunciadas.",media,Amalfi es el hub del Nordeste. Buena gasolina y talleres. La vía desde Gómez Plata por el cañón del Nus es espectacular. Llevar ropa de abrigo en las noches.,30000,Centro de servicios del Nordeste antioqueño.,2026-07-14 12:08:51.077731+00,amalfi
andes,Andes,Suroeste,1550,20,130,2h30min,"{'lat': 5.6585, 'lng': -75.873}",Desde Medellín por Amagá-La Pintada y luego vía hacia el sur del Suroeste. O por Jardín.,"Fundado en 1851. Centro urbano más importante del sur del Suroeste antioqueño. Ciudad de servicios para la región cafetera. Zona productora de café, banano y plátano. Montañas verdes y clima templado.","['Parque principal', 'Catedral de Andes', 'Cerro Plateado', 'Cascada La Playa', 'Mirador El Porvenir', 'Zona cafetera', 'Río San Juan']","['Café', 'Sancocho de gallina', 'Frijoles', 'Bandeja paisa', 'Empanadas', 'Chicharrón']","['Fiestas patronales San José (marzo)', 'Feria Agropecuaria', 'Festival del Café']",Carretera departamental bien pavimentada.,media,"Andes es el hub del Suroeste sur. Buenos servicios: gasolina, talleres, restaurantes. Punto base para visitar Jardín, Hispania y Betania.",55000,,2026-07-14 12:07:16.77151+00,andes
angelopolis,Angelópolis,Suroeste,1650,19,45,1h,"{'lat': 6.1204, 'lng': -75.7153}","Desde Medellín por Amagá, desvío corto.","Fundado en 1888. Municipio agrícola del inicio del Suroeste. Zona de montaña verde a pocos kilómetros de Medellín. Cultivos de café, aguacate y hortalizas. Paisajes de ladera espectaculares.","['Parque principal', 'Cultivos de aguacate', 'Miradores naturales', 'Quebradas', 'Finca El Cañón']","['Aguacate fresco', 'Frijoles', 'Café', 'Chicharrón', 'Sancocho']","['Fiestas patronales San Arcángel Rafael (octubre)', 'Feria del Aguacate']",Carretera departamental en buen estado.,facil,Solo a 1h de Medellín. Ideal para ruta de medio día. El aguacate es el producto estrella.,15000,,2026-07-14 12:07:16.77151+00,angelopolis
angostura,Angostura,Norte,1900,17,85,1h50min,"{'lat': 6.8849, 'lng': -75.3403}","Desde Medellín por Santa Rosa de Osos, continuando al norte.",Fundado en 1824. Municipio minero histórico del Norte antioqueño. Producción de oro artesanal. Zona de montañas con ríos auríferos. Paisaje de montaña verde con clima templado.,"['Minas de oro artesanales', 'Parque principal', 'Ríos auríferos', 'Cascadas', 'Miradores de montaña']","['Frijoles', 'Mazamorra', 'Chicharrón', 'Sancocho', 'Café del Norte']","['Fiestas patronales', 'Festival del Minero']",Vía departamental sinuosa.,media,Zona minera del Norte. Paisajes bonitos pero vías con barro en invierno.,15000,,2026-07-14 12:05:42.236136+00,angostura
anori,Anorí,Nordeste,850,25,160,3h30min,"{'lat': 6.9667, 'lng': -75.15}","Desde Amalfi hacia el norte, carretera departamental.",Fundado en 1830. Municipio minero del norte del Nordeste antioqueño. Zona aurífera activa. Clima cálido por su baja altitud. Históricamente afectado por el conflicto. Biodiversidad alta en sus bosques.,"['Parque principal', 'Minas de oro activas', 'Río Anorí', 'Bosques tropicales', 'Cascadas']","['Sancocho de gallina', 'Plátano', 'Yuca', 'Frutas tropicales', 'Guarapo de caña']","['Fiestas patronales', 'Festival del Minero']",Carretera departamental sinuosa con algunos tramos difíciles.,dificil,Zona minera activa. Llevar gasolina extra. Zona de transición entre clima templado y cálido.,20000,,2026-07-14 12:08:51.077731+00,anori
anza,Anzá,Occidente,600,27,85,2h,"{'lat': 6.3046, 'lng': -75.909}",Desde Medellín por la vía a Amagá y luego vía departamental al Occidente.,"Fundado en 1786. Municipio de clima cálido del Occidente antioqueño. A orillas del río Cauca en zona de paisaje tropical. Producción de caña de azúcar, plátano y frutas.","['Río Cauca', 'Cultivos tropicales', 'Parque principal', 'Miradores del Cauca']","['Guarapo de caña', 'Sancocho', 'Plátano', 'Frutas tropicales']","['Fiestas patronales', 'Festival Campesino']",Carretera departamental con curvas y descenso.,media,Zona cálida. Temperatura de 27-32°C. Llevar ropa ligera.,15000,,2026-07-14 12:04:26.281938+00,anza
apartado,Apartadó,Urabá,30,28,370,6h,"{'lat': 7.8763, 'lng': -76.6273}",Desde Medellín por la Autopista al Mar (Túnel de Occidente) o por la vía de Dabeiba. También por avión.,Fundado en 1967. Ciudad más importante de Urabá. Centro bananero de Colombia: el municipio más grande productor de banano del país. Ciudad moderna con buenos servicios. Zona de clima cálido y selva tropical. Urabá es el único acceso de Antioquia al mar Caribe.,"['Parque principal', 'Golfo de Urabá (cerca)', 'Plataneras industriales', 'Centro Comercial', 'Zona de servicios del Urabá']","['Banano', 'Plátano asado', 'Sancocho de mariscos', 'Pescado caribeño', 'Cocadas', 'Guarapo', 'Frutas tropicales']","['Fiestas del Banano (agosto)', 'Feria de Apartadó', 'Festival de Músicas del Caribe', 'Fiestas patronales']",Autopista Medellín-Turbo. Doble calzada en construcción. Buen estado general.,media,"Apartadó: hub del Urabá. Gasolina, talleres y todo disponible. La autopista al Mar es ruta clásica de moto. Llevar ropa ligera: 28-32°C todo el año.",200000,Capital de Urabá. Centro bananero de Colombia.,2026-07-14 12:09:50.678603+00,apartado
arboletes,Arboletes,Urabá,10,28,430,7h30min,"{'lat': 8.5777, 'lng': -76.4215}",Desde Necoclí hacia el norte por carretera costera. Zona límite con Córdoba.,Fundado en 1960. Municipio costero del Caribe. Famoso por el único volcán de lodo de Colombia accesible por tierra: el Volcán de Lodo de Arboletes. Playas caribeñas y pesca artesanal. Frontera con Córdoba.,"['Volcán de Lodo (único en Colombia)', 'Playas caribeñas', 'Pesca artesanal', 'Muelle pesquero', 'Playa El Ermitaño', 'Parque principal']","['Mariscos caribeños', 'Langosta', 'Mojarra', 'Patacón', 'Arroz con coco', 'Cocadas', 'Frutas tropicales']","['Festival del Mar y el Volcán', 'Fiestas patronales de San Roque (agosto)']",Carretera costera con algunos tramos en regular estado.,media,"El Volcán de Lodo es único en Colombia. Puedes bañarte en el lodo y luego en el mar. Temporada seca (dic-feb, jul-ago) es la mejor época. Llevar ropa que puedas manchar.",25000,Sede del único volcán de lodo de Colombia accesible por tierra.,2026-07-14 12:09:50.678603+00,arboletes
argelia,Argelia,Oriente,1750,19,130,3h,"{'lat': 5.7365, 'lng': -75.1613}",Desde Medellín por Sonsón o por Nariño. Vía departamental.,"Fundado en 1904. Municipio montañoso en el límite con el departamento del Tolima. Zona de montañas altas, ríos cristalinos y producción cafetera. Poco turismo masivo, ideal para el viajero aventurero. Acceso por vías sinuosas espectaculares.","['Ríos cristalinos', 'Cascadas naturales', 'Cultivos de café', 'Miradores sobre la Cordillera', 'Flora y fauna endémica']","['Frijoles', 'Café de la región', 'Trucha de río', 'Tamales', 'Sancocho montañero']","['Fiestas del Campesino', 'Fiestas patronales']",Carretera departamental con tramos destapados. Exige moto con buenas condiciones.,dificil,Ruta para moteros experimentados. Vías destapadas en temporada de lluvia. Llevar herramientas básicas y gasolina extra. Espectacular paisaje pero exigente.,10000,"Zona de difícil acceso, frontera con Tolima.",2026-07-14 12:03:11.391593+00,argelia
